,60/40 비용전,60/40 비용후(5bp),S&P500 100%
2005-06-30,54.35599329593404,54.27654158560438,68.07414932430142
2005-07-31,55.05709209475317,54.97661559404993,70.60568305236458
2005-08-31,55.191737317623584,55.11106400710057,69.96154869556054
2005-09-30,55.067149530457456,54.986658328882825,70.52788209856142
2005-10-31,54.24288476018434,54.16359837967527,69.3521203051574
2005-11-30,55.61126676487427,55.529980231593385,71.9751837455724
2005-12-31,55.92055012792903,55.8388115176888,72.00035080853276
2006-01-31,56.651667946763524,56.56856389432324,73.90682333128315
2006-02-28,56.722159035826536,56.63895157786663,74.10741962726287
2006-03-31,56.85077258634333,56.7673764612597,75.0299558892451
2006-04-30,57.182873278910726,57.09898998523401,76.0371551566072
2006-05-31,56.13988330326731,56.0575300032655,73.84885435828829
2006-06-30,56.2363429732453,56.153848173623736,73.94877309161964
2006-07-31,56.81429753478106,56.730954916058465,74.40527177089048
2006-08-31,58.02975563724608,57.94463002611485,76.17559262448943
2006-09-30,59.21658185282212,59.129715250266756,78.13849784003581
2006-10-31,60.52582369786147,60.43703652867693,80.68452381134905
2006-11-30,61.54164319256087,61.45136588690517,82.21915600481317
2006-12-31,61.78275207120545,61.69212107561227,83.3724182763356
2007-01-31,62.24444126573715,62.151340232224825,84.63322947286274
2007-02-28,62.01416104867819,61.92140445276975,82.97770599359939
2007-03-31,62.39219922659683,62.29887718670085,83.90596373548784
2007-04-30,64.19691303551416,64.10089162652777,87.62279350501122
2007-05-31,65.2046583856068,65.10712965915236,90.68023318976813
