rcept_no,status,candidate_rows,documents_in_zip,error,updated_at_utc
20010514000624,NO_CANDIDATES,0,1,,2026-09-02T18:59:28.955927+00:00
20010514000255,NO_CANDIDATES,0,1,,2026-09-02T18:59:29.032587+00:00
20010514000573,NO_CANDIDATES,0,1,,2026-09-02T18:59:29.981254+00:00
20010515000731,NO_CANDIDATES,0,1,,2026-09-02T18:59:29.986173+00:00
20010515000003,NO_CANDIDATES,0,1,,2026-09-02T18:59:30.097205+00:00
20010514000185,NO_CANDIDATES,0,1,,2026-09-02T18:59:30.284083+00:00
20010514000740,NO_CANDIDATES,0,1,,2026-09-02T18:59:31.344105+00:00
20010515000667,NO_CANDIDATES,0,1,,2026-09-02T18:59:31.638678+00:00
20010515000087,NO_CANDIDATES,0,1,,2026-09-02T18:59:31.800586+00:00
20010515000925,NO_CANDIDATES,0,1,,2026-09-02T18:59:31.843928+00:00
20010514000106,NO_CANDIDATES,0,1,,2026-09-02T18:59:32.258202+00:00
20010515000587,NO_CANDIDATES,0,1,,2026-09-02T18:59:32.305747+00:00
20010515000176,NO_CANDIDATES,0,1,,2026-09-02T18:59:33.031898+00:00
20010515000725,NO_CANDIDATES,0,1,,2026-09-02T18:59:33.059606+00:00
20010515000734,NO_CANDIDATES,0,1,,2026-09-02T18:59:33.761539+00:00
20010515000501,NO_CANDIDATES,0,1,,2026-09-02T18:59:34.426556+00:00
20010515000322,NO_CANDIDATES,0,1,,2026-09-02T18:59:34.522315+00:00
20010515000311,NO_CANDIDATES,0,1,,2026-09-02T18:59:34.915743+00:00
20010515000703,NO_CANDIDATES,0,1,,2026-09-02T18:59:34.961672+00:00
20010515000211,NO_CANDIDATES,0,1,,2026-09-02T18:59:35.505283+00:00
20010515000478,NO_CANDIDATES,0,1,,2026-09-02T18:59:36.050604+00:00
20010515000023,NO_CANDIDATES,0,1,,2026-09-02T18:59:36.313279+00:00
20010515000538,NO_CANDIDATES,0,1,,2026-09-02T18:59:36.509889+00:00
20010515000402,NO_CANDIDATES,0,1,,2026-09-02T18:59:36.756044+00:00
20010515000320,NO_CANDIDATES,0,1,,2026-09-02T18:59:37.784133+00:00
20010515000539,NO_CANDIDATES,0,1,,2026-09-02T18:59:37.957564+00:00
20010515000426,NO_CANDIDATES,0,1,,2026-09-02T18:59:38.676830+00:00
20010515000160,NO_CANDIDATES,0,1,,2026-09-02T18:59:38.742754+00:00
20010514000689,NO_CANDIDATES,0,1,,2026-09-02T18:59:39.094395+00:00
20010515000409,NO_CANDIDATES,0,1,,2026-09-02T18:59:40.078987+00:00
20010515000142,NO_CANDIDATES,0,1,,2026-09-02T18:59:40.232935+00:00
20010515000198,NO_CANDIDATES,0,1,,2026-09-02T18:59:41.208818+00:00
20010515000384,NO_CANDIDATES,0,1,,2026-09-02T18:59:41.275037+00:00
20010515000557,NO_CANDIDATES,0,1,,2026-09-02T18:59:41.343186+00:00
20010515000660,NO_CANDIDATES,0,1,,2026-09-02T18:59:41.703675+00:00
20010514000726,NO_CANDIDATES,0,1,,2026-09-02T18:59:42.803030+00:00
20010514000678,NO_CANDIDATES,0,1,,2026-09-02T18:59:43.354268+00:00
20010515000004,NO_CANDIDATES,0,1,,2026-09-02T18:59:44.143738+00:00
20010515000177,NO_CANDIDATES,0,1,,2026-09-02T18:59:44.526523+00:00
20010515000189,NO_CANDIDATES,0,1,,2026-09-02T18:59:44.818145+00:00
20010515000058,NO_CANDIDATES,0,1,,2026-09-02T18:59:45.324326+00:00
20010515000874,NO_CANDIDATES,0,1,,2026-09-02T18:59:45.673312+00:00
20010515000335,NO_CANDIDATES,0,1,,2026-09-02T18:59:46.006671+00:00
20010515000490,NO_CANDIDATES,0,1,,2026-09-02T18:59:46.179680+00:00
20010515000027,NO_CANDIDATES,0,1,,2026-09-02T18:59:46.796560+00:00
20010515000267,NO_CANDIDATES,0,1,,2026-09-02T18:59:46.799605+00:00
20010515000498,NO_CANDIDATES,0,1,,2026-09-02T18:59:47.706984+00:00
20010515000447,NO_CANDIDATES,0,1,,2026-09-02T18:59:47.731636+00:00
20010515000014,NO_CANDIDATES,0,1,,2026-09-02T18:59:47.905027+00:00
20010515000450,NO_CANDIDATES,0,1,,2026-09-02T18:59:48.396817+00:00
20010515000727,NO_CANDIDATES,0,1,,2026-09-02T18:59:48.504666+00:00
20010515000809,NO_CANDIDATES,0,1,,2026-09-02T18:59:48.524332+00:00
20010515000125,NO_CANDIDATES,0,1,,2026-09-02T18:59:48.709258+00:00
20010515000689,NO_CANDIDATES,0,1,,2026-09-02T18:59:49.774515+00:00
20010515000216,NO_CANDIDATES,0,1,,2026-09-02T18:59:49.814605+00:00
20010515000278,NO_CANDIDATES,0,1,,2026-09-02T18:59:50.220617+00:00
