Date,Open,High,Low,Close,Volume,Change,Amount,MarCap
2019-03-21,1231.88,1239.81,1215.38,1218.58,66967806,-0.0111,1496851188266,123193665061569
2019-03-22,1226.43,1226.97,1213.39,1219.13,81117261,0.0005,1589116302347,123702879178466
2019-03-25,1200.6,1207.7,1185.4,1187.76,64050351,-0.0256999999999999,1227568967368,120469588049915
2019-03-26,1196.42,1207.27,1190.14,1204.26,49041920,0.0139,1027309314304,121866959792186
2019-03-27,1207.66,1207.66,1182.2,1182.25,62844926,-0.0183,1152392681962,119821004698682
2019-03-28,1178.26,1184.91,1168.11,1170.28,55283080,-0.0101,1144519127665,118635372934553
2019-03-29,1178.71,1194.23,1164.64,1193.9,72887115,0.0202,1302849115109,120599471236742
2019-04-01,1195.53,1205.51,1186.74,1199.62,51664278,0.0048,1018676574156,121241072399339
2019-04-02,1207.14,1207.14,1198.52,1202.53,75997299,0.0024,1017501574972,121521252476705
2019-04-03,1205.25,1223.66,1202.76,1223.66,52299603,0.0176,1106987631439,123546914132007
2019-04-04,1224.22,1229.46,1212.4,1221.41,60851979,-0.0018,1038086401157,123533524319053
2019-04-05,1220.33,1226.32,1209.98,1212.35,56743023,-0.0074,1011521374486,122722146831161
2019-04-08,1217.81,1221.34,1205.96,1210.48,42821817,-0.0015,794937041095,122565425909988
2019-04-09,1212.04,1218.59,1203.85,1216.07,71661585,0.0046,1104900007283,123185416435904
2019-04-10,1213.14,1223.17,1210.16,1221.16,46502752,0.0042,861457615434,123325381397955
2019-04-11,1223.02,1234.15,1223.02,1232.64,58910111,0.0093999999999999,1115733137294,124506392501793
2019-04-12,1228.62,1234.48,1223.45,1228.01,63340516,-0.0038,1027647193287,124162922902434
2019-04-15,1231.37,1231.87,1222.46,1225.51,60227073,-0.002,1224835203871,124404488338151
2019-04-16,1226.85,1228.58,1216.34,1227.66,60881421,0.0018,1096095369185,124730090522340
2019-04-17,1230.01,1231.74,1223.87,1227.87,49855829,0.0002,941029345455,124824289556484
2019-04-18,1226.8,1227.47,1196.75,1200.27,59289015,-0.0225,1127218507884,122137743633812
2019-04-19,1206.71,1219.33,1205.98,1219.08,39594061,0.0157,861455923454,124093293256837
2019-04-22,1221.15,1228.65,1214.08,1218.52,48178041,-0.0005,865260656932,123920775894256
