,전략(비용전),전략(비용후),정적4자산25%
2022-05-31,3.4242997090008513,3.3865801540774476,8.567202456837938
2022-06-30,3.3145113826380426,3.278001174780641,7.97255185665168
2022-07-31,3.418220138117295,3.3805675512537405,8.452150945772612
2022-08-31,3.3463143813306533,3.3094538551431234,8.10091002760729
2022-09-30,3.203601057659983,3.1683125559761343,7.41492444102925
2022-10-31,3.2422799749179925,3.206565414866631,7.540186806610776
2022-11-30,3.338363294299119,3.301590351410212,8.030264447986795
2022-12-31,3.267036319873885,3.2310490622222487,7.718169003872507
2023-01-31,3.3059579396729997,3.2683034531603528,8.266961623917437
2023-02-28,3.2829465445816486,3.245554155252909,8.011884652581363
2023-03-31,3.3075656190178093,3.2698928212195044,8.31349817366356
2023-04-30,3.312171889492435,3.274446626795113,8.385087252611847
2023-05-31,3.3028770582252616,3.2652576626033754,8.359348989592199
2023-06-30,3.3094558296879053,3.2717615026041464,8.481903067465762
2023-07-31,3.315183475849726,3.2774239115248753,8.545063853970696
2023-08-31,3.305340973255482,3.2676935139204555,8.369107136152515
2023-09-30,3.283555821447817,3.2461564925245763,8.022011792297135
2023-10-31,3.2644328526030595,3.227251332129166,7.696317581100727
2023-11-30,3.31823456549019,3.2804402495998897,8.425239817290194
2023-12-31,3.3626810326933083,3.3243804765754024,8.985559918327281
2024-01-31,3.2889018589130683,3.249213675328492,8.767396977021509
2024-02-29,3.356466203247319,3.3159627000768324,8.927331331596147
2024-03-31,3.4484446393832027,3.4068312043218354,9.180112293454775
2024-04-30,3.34214479364418,3.301814111298972,8.837876196717934
2024-05-31,3.394486264113775,3.3535239612526024,9.00208271992744
2024-06-30,3.5281228791962898,3.4855479424711295,9.374942924764929
2024-07-31,3.578205478709503,3.535026179954358,9.540833615472527
2024-08-31,3.56511545948451,3.5220941219907265,9.525180921402272
2024-09-30,3.5840754922001543,3.5408253581987617,9.59453305788928
2024-10-31,3.523452431528061,3.480933854521868,9.380534508332705
2024-11-30,3.603900327495774,3.560410961149818,9.613414573253388
2024-12-31,3.5100507077856227,3.4676938534744375,9.303975897106435
2025-01-31,3.544603782660406,3.5003555549637873,9.522736034610936
2025-02-28,3.5582960559814163,3.51387690401096,9.707773582307542
2025-03-31,3.5104457274128045,3.466623903765536,9.548537500084484
2025-04-30,3.5209168820066448,3.4769643441636227,9.585101256525155
2025-05-31,3.543772407718446,3.4995345582953905,9.743457187190282
2025-06-30,3.576813287188479,3.5321629797171537,10.305284562938532
2025-07-31,3.6001774286071844,3.555235460371266,10.525125561886407
2025-08-31,3.614442207472649,3.569322168224572,10.512989117571504
2025-09-30,3.6433462374405163,3.5978653815320203,11.00202810554704
2025-10-31,3.6500256312854464,3.6044613947347552,11.840486331967359
2025-11-30,3.6256859243079345,3.580425526765055,11.591146891251114
2025-12-31,3.6216060311626244,3.5763965640063105,11.908279389525926
2026-01-31,3.879964143179986,3.8292346489755285,12.663985291783806
2026-02-28,4.146761412204489,4.092543615012352,13.643995632796997
2026-03-31,3.800238478079658,3.750551375638733,12.31090427760879
2026-04-30,4.257651703413561,4.201984045300645,13.812151650674718
2026-05-31,4.832709228150443,4.769522846592712,15.638426165312369
2026-06-30,4.884779679361097,4.820912490570248,15.767034653562568
2026-07-31,4.419670783861409,4.361884769573208,14.123707568852046
2026-08-31,4.432074415961367,4.374126227498481,14.173843383045561
